('0', '10')
('1', '5')
('2', '13')
('3', '6')
('4', '0')
('5', '3')
('6', '9')
('7', '2')
('10', '23')
('11', '1')
('13', '16')
('14', '8')
('15', '18')
('16', '11')
('17', '12')
('18', '25')
('19', '27')
('20', '33')
('21', '4')
('22', '15')
('23', '14')
('24', '21')
('25', '17')
('26', '22')
('27', '30')
('28', '7')
('29', '19')
('30', '34')
('31', '41')
('32', '28')
('33', '20')
('34', '32')
('35', '35')
('36', '39')
('37', '26')
('38', '36')
('39', '24')
('40', '51')
('41', '46')
('42', '43')
('44', '31')
('45', '40')
('46', '45')
('47', '44')
('48', '29')
('49', '37')
('50', '49')
('51', '42')
('52', '47')
('53', '52')
('54', '56')
('55', '73')
('56', '50')
('57', '55')
('58', '48')
('59', '68')
('60', '38')
('61', '60')
('62', '57')
('63', '63')
('64', '71')
('65', '53')
('66', '65')
('67', '58')
('68', '54')
('69', '77')
('70', '64')
('71', '67')
('72', '66')
('73', '61')
('74', '72')
('75', '62')
('76', '70')
('77', '59')
('78', '84')
('79', '74')
('80', '83')
('81', '69')
('82', '78')
('83', '92')
('84', '82')
('86', '76')
('87', '75')
('88', '81')
('89', '87')
('91', '79')
('93', '80')
('94', '91')
('95', '97')
('96', '90')
('97', '107')
('98', '95')
('99', '85')
('100', '89')
('101', '99')
('102', '86')
('103', '103')
('104', '96')
('105', '93')
('106', '113')
('107', '102')
('108', '88')
('109', '121')
('110', '105')
('111', '108')
('112', '100')
('113', '104')
('114', '94')
('115', '98')
('116', '106')
('117', '118')
('118', '101')
('119', '114')
('120', '142')
('121', '109')
('122', '115')
('123', '112')
('124', '117')
('126', '129')
('127', '122')
('128', '163')
('129', '149')
('131', '155')
('132', '138')
('133', '120')
('134', '156')
('135', '128')
('136', '148')
('137', '147')
('138', '123')
('139', '133')
('140', '111')
('141', '116')
('142', '127')
('143', '145')
('144', '135')
('145', '125')
('146', '130')
('147', '126')
('148', '119')
('149', '131')
('150', '124')
('151', '137')
('152', '172')
('153', '141')
('154', '144')
('155', '146')
('156', '132')
('157', '140')
('158', '139')
('159', '153')
('160', '110')
('161', '161')
('162', '168')
('163', '152')
('164', '143')
('165', '136')
('166', '167')
('167', '169')
('168', '151')
('169', '134')
('171', '171')
('172', '164')
('173', '165')
('174', '157')
('175', '158')
('176', '170')
('177', '150')
('178', '174')
('179', '159')
('180', '154')
('181', '160')
('182', '179')
('183', '166')
('184', '173')
('185', '162')
('186', '180')
('188', '176')
('190', '175')
('191', '178')
('192', '177')
('193', '181')
