('0', '17')
('1', '2')
('2', '10')
('3', '1')
('4', '44')
('5', '15')
('6', '0')
('7', '7')
('8', '3')
('9', '24')
('10', '34')
('11', '12')
('12', '26')
('13', '4')
('14', '19')
('15', '20')
('16', '14')
('17', '5')
('18', '13')
('19', '21')
('20', '16')
('21', '31')
('22', '69')
('23', '60')
('24', '29')
('25', '36')
('26', '67')
('27', '109')
('28', '143')
