('0', '0')
('1', '1')
('2', '4')
('3', '2')
('4', '3')
('5', '5')
('6', '8')
('7', '9')
('8', '6')
('9', '10')
('10', '11')
('11', '13')
('12', '12')
('13', '15')
('14', '14')
('15', '22')
('16', '18')
('17', '20')
('18', '16')
('19', '25')
('20', '23')
('21', '24')
('22', '28')
('23', '29')
('24', '30')
('25', '26')
('26', '27')
('27', '31')
('28', '32')
