('0', '0')
('1', '1')
('2', '3')
('3', '4')
('4', '2')
('5', '5')
('6', '8')
('8', '6')
('9', '7')
('10', '9')
('11', '10')
('12', '12')
('13', '11')
('14', '14')
('15', '13')
('16', '18')
('18', '16')
('20', '17')
('22', '15')
('23', '20')
('24', '21')
('25', '19')
('26', '25')
('27', '26')
('28', '22')
('29', '23')
('30', '24')
('31', '27')
('32', '28')
