('0', '11')
('1', '17')
('2', '20')
('3', '13')
('4', '21')
('5', '1')
('6', '7')
('7', '25')
('9', '2')
('10', '4')
('12', '15')
('13', '14')
('14', '12')
('15', '8')
('16', '18')
('17', '16')
('19', '0')
('20', '6')
('21', '22')
('24', '10')
('26', '9')
('29', '19')
('31', '3')
('34', '5')
('36', '26')
('44', '27')
('46', '30')
('60', '28')
('63', '23')
('69', '24')
('103', '29')
('109', '31')
('143', '32')
('177', '33')
