('0', '6')
('1', '3')
('2', '1')
('3', '8')
('4', '13')
('5', '17')
('7', '7')
('10', '2')
('12', '11')
('13', '18')
('14', '16')
('15', '5')
('16', '20')
('17', '0')
('19', '14')
('20', '15')
('21', '19')
('24', '9')
('26', '12')
('29', '24')
('31', '21')
('34', '10')
('36', '25')
('44', '4')
('60', '23')
('67', '26')
('69', '22')
('109', '27')
('143', '28')
