('2', '0')
('4', '2')
('7', '1')
('8', '5')
('9', '4')
('10', '9')
('11', '8')
('12', '3')
('14', '7')
('15', '12')
('16', '10')
('17', '6')
('18', '13')
('19', '14')
('20', '16')
('21', '20')
('22', '11')
('24', '18')
('25', '22')
('26', '15')
('27', '23')
('29', '21')
('30', '17')
('31', '19')
('33', '25')
('35', '24')
('36', '28')
('37', '27')
('38', '33')
('39', '35')
('41', '26')
('45', '31')
('47', '30')
('48', '36')
('50', '29')
('52', '32')
('53', '34')
('54', '39')
('55', '40')
('56', '37')
('57', '44')
('58', '41')
('59', '38')
('60', '46')
('61', '47')
('62', '42')
('63', '45')
('64', '51')
('65', '49')
('66', '43')
('67', '50')
('68', '48')
