('0', '19')
('1', '5')
('2', '9')
('3', '31')
('4', '10')
('5', '34')
('6', '20')
('7', '6')
('8', '15')
('9', '26')
('10', '24')
('11', '0')
('12', '14')
('13', '3')
('14', '13')
('15', '12')
('16', '17')
('17', '1')
('18', '16')
('19', '29')
('20', '2')
('21', '4')
('22', '21')
('23', '63')
('24', '69')
('25', '7')
('26', '36')
('27', '44')
('28', '60')
('29', '103')
('30', '46')
('31', '109')
('32', '143')
('33', '177')
