('0', '6')
('1', '3')
('2', '24')
('3', '7')
('4', '61')
('5', '12')
('6', '47')
('7', '30')
('8', '0')
('9', '4')
('10', '23')
('11', '21')
('12', '13')
('13', '22')
('14', '5')
('15', '17')
('16', '9')
('17', '1')
('18', '2')
('19', '28')
('20', '37')
('21', '44')
('22', '43')
('23', '85')
('24', '39')
('25', '38')
('26', '83')
('27', '129')
('28', '180')
