('0', '8')
('1', '17')
('2', '18')
('3', '1')
('4', '9')
('5', '14')
('6', '0')
('7', '3')
('9', '16')
('12', '5')
('13', '12')
('17', '15')
('21', '11')
('22', '13')
('23', '10')
('24', '2')
('28', '19')
('30', '7')
('37', '20')
('38', '25')
('39', '24')
('43', '22')
('44', '21')
('47', '6')
('61', '4')
('83', '26')
('85', '23')
('129', '27')
('180', '28')
